elo_prob1,score1,score2
0.53998946,23,20
0.512719038,24,20
0.331044934,13,17
0.412857968,16,20
0.511577055,34,31
0.77221779,19,3
0.73493655,26,26
0.516969289,40,11
0.505597926,19,23
0.496599422,42,21
0.711187203,21,24
0.565526688,21,24
0.799200271,6,13
0.500181329,11,27
0.683097734,38,41
0.334347237,6,27
0.525767544,40,10
0.793837712,31,24
0.664550069,22,20
0.458642421,23,20
0.48800008,3,23
0.573099012,31,34
0.562739696,24,21
0.35463701,28,35
0.739247996,28,32
0.233771186,31,34
0.753708932,23,13
0.506238243,17,24
0.665643795,22,14
0.822836736,27,6
0.443780781,10,17
0.680575206,34,7
0.494980533,27,20
0.765455626,29,26
0.560571334,31,13
0.603008651,30,10
0.618990131,37,27
0.446005636,10,45
0.883765029,27,26
0.864059558,51,28
0.654595487,22,21
0.70334657,42,28
0.546864988,37,14
0.495426618,19,17
0.599471436,34,20
0.618317886,27,6
0.60207121,28,34
0.54267793,45,28
0.82839499,20,27
0.778549673,25,3
0.368432147,31,38
0.689027712,27,26
0.449978729,48,30
0.39995925,30,20
0.527248536,20,27
0.406137673,24,20
0.364725657,27,16
0.284299605,14,33
0.320356564,31,56
0.269328435,0,23
0.450138302,34,37
0.838988776,30,20
0.616819666,36,37
0.450370556,16,18
0.751544033,42,14
0.630554635,24,13
0.804406082,10,17
0.608722785,17,13
0.837232222,26,13
0.620696529,20,23
0.184587527,13,37
0.572194604,31,38
0.531400421,54,11
0.528538274,7,41
0.391990403,23,24
0.633622876,7,23
0.429002152,16,20
0.376733254,19,0
0.707887928,23,13
0.850431734,34,24
0.632939742,28,33
0.788484131,27,9
0.63284077,27,24
0.870241767,30,10
0.445059981,20,23
0.14910683,14,34
0.724433682,16,10
0.854888459,34,20
0.731607376,7,20
0.581860399,14,13
0.554197749,22,24
0.824747738,20,7
0.808362264,42,17
0.661503261,34,17
0.740603877,20,6
0.322234461,20,21
0.509804877,24,26
0.674436319,45,44
0.690857617,10,27
0.319920557,20,23
0.739125919,43,22
0.700155056,23,15
0.707454456,24,17
0.490428172,10,23
0.58537294,26,16
0.563444965,23,17
0.479916439,8,43
0.803040312,36,16
0.791857968,34,17
0.643936191,6,34
0.702028492,31,24
0.391170276,33,20
0.384514557,17,28
0.643228434,20,23
0.572005773,17,6
0.392988268,14,20
0.772161082,30,27
0.549330189,16,23
0.428660942,37,34
0.642305829,10,26
0.715260958,19,14
0.56073865,35,14
0.580108699,18,17
0.541034547,26,6
0.813891394,20,28
0.631382987,41,10
0.794965936,24,17
0.399815582,30,21
0.527488148,17,19
0.730885614,24,10
0.611497025,31,24
0.349277612,26,24
0.71228085,24,7
0.529529349,14,30
0.466382682,14,25
0.49159204,7,30
0.534458164,29,10
0.623054514,10,26
0.577838303,27,30
0.662081766,56,14
0.331950661,17,44
0.535297382,31,34
0.52721123,23,14
0.478035969,10,22
0.605493323,30,17
0.711240407,19,37
0.753340085,33,7
0.562769442,19,7
0.401040071,21,23
0.634380247,15,34
0.777466983,37,34
0.886116496,16,9
0.664005753,20,9
0.616966596,26,20
0.513354695,19,27
0.495783491,14,45
0.565529517,38,10
0.503856754,23,17
0.666609102,17,38
0.575191915,41,28
0.55880517,38,17
0.650596777,26,21
0.799196576,24,27
0.697269748,41,17
0.494974777,17,24
0.668360743,38,14
0.892334805,33,14
0.408815881,41,14
0.634780703,42,10
0.65190159,28,29
0.555565498,43,17
0.703686365,34,28
0.630482218,41,20
0.564498139,20,13
0.750242231,20,17
0.744890148,37,31
0.64147617,30,20
0.695091526,22,17
0.271537448,9,17
0.645127126,31,24
0.81811501,31,0
0.681550515,14,17
0.194086717,17,27
0.393077529,28,33
0.376873835,17,48
0.739673863,23,30
0.385149605,31,10
0.651542273,27,0
0.475696673,24,27
0.261005077,17,31
0.189642848,28,31
0.841036522,30,20
0.542803647,3,17
0.76214591,16,14
0.399685743,22,37
0.545931912,13,27
0.6412961,37,37
0.34917426,17,31
0.855534249,27,25
0.722204507,20,23
0.296256024,28,26
0.597803408,27,0
0.786402995,29,7
0.475485627,19,17
0.609242298,38,17
0.615234741,17,16
0.585505664,24,23
0.665632264,14,27
0.729023546,31,21
0.371189018,24,6
0.619505889,42,17
0.220712809,13,24
0.711873678,30,23
0.698473768,35,21
0.463542937,51,34
0.612688862,16,30
0.686473737,22,21
0.538888236,27,24
0.611632404,24,20
0.35215881,13,27
0.518682533,44,23
0.718278325,34,7
0.790508448,51,23
0.488051858,23,43
0.731781411,23,13
0.441954245,9,13
0.507695783,13,19
0.862065538,17,20
0.5210447,10,28
0.560277787,17,28
0.867756225,33,23
0.923534079,30,24
0.827245485,24,10
0.477595031,37,0
0.682421945,29,26
0.552379452,43,23
0.809414101,10,13
0.66851639,22,17
0.519316266,43,21
0.405175873,21,31
0.456459305,24,40
0.771791226,3,24
0.512939078,17,27
0.593110984,24,27
0.71777134,55,14
0.284490564,20,13
0.129670505,17,41
0.80099103,31,14
0.586984342,20,16
0.815962025,38,17
0.792020161,21,7
0.474272644,13,17
0.81580551,31,17
0.727354365,45,21
0.671662188,22,9
0.707558095,14,6
0.669650732,7,23
0.671286311,7,27
0.672919013,10,27
0.648472627,17,19
0.492517157,24,20
0.881208304,13,6
0.559937391,21,13
0.480344618,20,42
